"HRUGIS";"HRU";"HRU_AREA";"linE_AREA";"LULC_SQ";"margin_SQ";"LULC_int";"margin_int";"LULC_ext";"margin_ext";"margintotal_SQ";"margintotal_int";"margintotal_ext"
10121;121;131232;0;"PAST";443.766198857143;"PAST";443.766198857143;"PASE";110.598914857143;5879.90213485715;5879.90213485715;1465.43562185714
10122;122;81034;0.26378;"PAST";449.589284571429;"PAST";449.589284571429;"PASE";114.219815428571;3759.11491794432;3759.11491794432;955.017005157676
10123;123;267607;0.055335;"PAST";351.648070857143;"PAST";351.648070857143;"PASE";46.051664;9980.53356899912;9980.53356899912;1307.04592617256
10125;125;71951;0.02562;"PAST";447.998744;"PAST";447.998744;"PASE";112.168170285714;3236.51316617872;3236.51316617872;810.345486048706
10126;126;853532;1.484805;"PAST";440.504057714286;"PAST";440.504057714286;"PASE";105.632969714286;36898.9082927284;36898.9082927284;8848.36630654626
10127;127;100420;0.0024;"PAST";448.125793142857;"PAST";448.125793142857;"PASE";107.350338857143;4704.24532609646;4704.24532609646;1126.92091718674
10128;128;82955;0;"PAST";170.993894857143;"PAST";170.993894857143;"PASE";-47.4026857142857;1432.07386942857;1432.07386942857;-396.997492857143
10130;130;266269;0.3927;"PAST";442.899684;"PAST";442.899684;"PASE";107.408128571429;11895.0896830932;11895.0896830932;2884.69233148144
10131;131;345565;0.30806;"PAST";438.097954285714;"PAST";438.097954285714;"PASE";103.024161142857;14952.037844917;14952.037844917;3516.15692627547
10132;132;154220;0.013005;"PAST";447.112929142857;"PAST";447.112929142857;"PASE";111.065423428571;6840.6020238565;6840.6020238565;1699.2448904183
10133;133;526450;0.196075;"PAST";428.005267428571;"PAST";428.005267428571;"PASE";94.6042880000001;22332.8547487604;22332.8547487604;4936.35004823041
10147;147;97073;0.09333;"M103";232.655413774141;"PAST";436.448300571429;"PASE";102.745358857143;2290.29944461299;4296.47126703624;1011.44277930072
10152;152;51070;0;"M308";447.390720174693;"PAST";449.425179428572;"PASE";109.567964;2320.83936090622;2331.39311828572;568.38381325
10163;163;94445;0.1836;"M109";366.504955973221;"PAST";442.641946285714;"PASE";104.329282285714;3368.69365233226;4068.49918509051;958.932165200912
10165;165;53724;0.10965;"M104";316.075037322935;"PAST";450.009473142857;"PASE";109.795924571429;1763.01914693173;2510.08533976988;612.425197870745
10168;168;139308;0.50796;"M104";309.483040939542;"PAST";443.484529142857;"PASE";106.150430285714;4310.95639808899;6177.53548807659;1478.62666468206
10170;170;56327;0.30282;"M103";235.597531944799;"PAST";438.777534857143;"PASE";100.830026857143;1298.06700980562;2417.5238082517;555.541182374264
10171;171;80212;0.0646;"M106";356.699166818024;"PAST";444.319612571429;"PASE";117.298992571429;2830.55056836775;3525.85385359932;930.814425651318
10179;179;396358;0.882175;"M310";350.615734780366;"PAST";440.790138857143;"PASE";107.340413142857;13759.1519222323;17297.8502808966;4212.34104839284
10199;199;130684;0.3458;"M109";389.506827920211;"PAST";442.368658285714;"PASE";110.359594857143;4953.24147861295;5625.46951682194;1403.40985991983
10201;201;89359;0.38376;"M104";310.249969029517;"PAST";444.647492;"PASE";106.721048571429;2711.96943927957;3886.77044297008;932.874298614518
10205;205;48633;0.04615;"M301";207.701746903423;"PAST";353.696628;"PASE";46.8814537142857;1080.84873562338;1840.5841976178;243.964052911086
10209;209;472267;0.99072;"M310";347.476970086578;"PAST";447.880958857143;"PASE";107.211599428571;15856.8613464825;20438.7250831553;4892.52414757125
20040;251;758409;2.32866;"M106";342.390347135008;"PAST";441.066073714286;"PASE";102.786936571429;25824.7726673619;33267.3837924116;7752.69890738193
20041;252;590685;2.07085;"M112";331.966721966157;"PAST";455.840168571429;"PASE";113.696950857143;19354.5333460259;26576.6812131645;6628.83138910046
20043;254;893495;1.183875;"M108";295.255742925456;"PAST";450.072115428572;"PASE";109.233688;25909.7617437769;39495.4596402756;9585.652094119
20044;255;600373;0.39858;"M111";324.60657910445;"PAST";448.857869714286;"PASE";112.659713714286;19467.4718372898;26919.1338071958;6756.48598984275
20045;256;449864;0.89775;"M110";595.781351103008;"PAST";437.8068;"PASE";108.677958285714;26275.2980916826;19308.2649453;4792.94248580613
20046;257;323020;0.63104;"M108";341.982766316421;"PAST";435.685013142857;"PASE";108.577046857143;10877.2611775326;13857.5979431278;3453.45149777984
20047;258;721427;1.36566;"M112";258.724384720346;"PAST";446.595358285714;"PASE";116.227566857143;18476.2249992968;31892.6116386258;8300.13250855558
20050;261;310663;0.137295;"M105";253.234953965262;"PAST";434.265856571429;"PASE";105.259432;7847.17004916412;13456.9022550078;3261.74822728356
20052;263;637446;0.39933;"M106";241.04070969479;"PAST";439.889325142857;"PASE";108.575172;15179.7001903049;27702.3249767193;6837.59420206524
20054;265;95512;0.05605;"M109";221.022757803658;"PAST";342.686474285714;"PASE";45.8882205714286;2101.14179592258;3257.73183347343;436.234074451257
20067;278;63696;0.132525;"PAST";439.337124571429;"PAST";439.337124571429;"PASE";100.802345142857;2934.76100870903;2934.76100870903;673.357145495656
20069;280;209678;0.01664;"PAST";335.674729142857;"PAST";335.674729142857;"PASE";46.5263337142857;7379.25841364992;7379.25841364992;1022.80514352128
20070;281;49775;0;"PAST";446.730348;"PAST";446.730348;"PASE";107.327950857143;2289.4930335;2289.4930335;550.055748142858
20072;283;353784;0.34465;"PAST";431.805382285714;"PAST";431.805382285714;"PASE";106.968529714286;14991.3544913881;14991.3544913881;3713.71736934112
20074;285;151882;0.2175;"PAST";448.018926285714;"PAST";448.018926285714;"PASE";116.781532;6762.84569228285;6762.84569228285;1762.81722554
20077;288;74659;0.0126;"PAST";448.467017142857;"PAST";448.467017142857;"PASE";112.157913714286;3469.96869844114;3469.96869844114;867.810641572916
20086;297;170355;0.225615;"M106";343.546272525647;"PAST";441.867409714286;"PASE";107.216010857143;5848.66400879154;7522.52090192874;1825.28664699618
20088;299;53746;0.0912;"M109";221.595389799569;"PAST";332.492324571429;"PASE";51.2985068571429;1253.9639917978;1881.5075662848;290.2879906032
30005;319;803577;0.313925;"M111";320.037774816546;"PAST";435.360883428571;"PASE";108.575723428571;25742.5824579768;35018.7206715268;8733.40503287979
30006;320;90661;0.0621;"M104";334.974180303293;"PAST";435.679498857143;"PASE";108.143182857143;3098.64515747758;4030.20963622812;1000.36769870172
30008;322;250131;0.22185;"M104";300.40730479674;"PAST";443.970337714286;"PASE";114.220256571429;7368.43543315016;10889.7710390067;2801.6115862225
30009;323;163570;0;"M112";333.783118962433;"PAST";443.213667428572;"PASE";114.122102285714;5444.83712807469;7229.92294992858;1861.61679353571
30010;324;139902;0.152075;"M105";340.778302047205;"PAST";445.173224;"PASE";115.012769714286;4825.56558776679;6303.8420504602;1628.62969958142
30019;333;78176;0.36498;"PAST";443.863801714286;"PAST";443.863801714286;"PASE";104.681204;3444.39197857889;3444.39197857889;812.32823666408
40001;338;134783;0.20013;"M108";263.14091820657;"PAST";440.675441714286;"PASE";110.306878285714;3483.2936964401;5833.38387188544;1460.17296141296
40003;340;59748;0.0669;"M102";360.652872574477;"PAST";440.119932571429;"PASE";104.705136;2184.87116734344;2666.29056351097;634.3141844016
50022;370;270226;0.281775;"M111";334.876639057993;"PAST";435.032342285714;"PASE";105.920264;8947.30938959524;11623.2920034667;2830.0014456114
50025;373;504845;3.82074;"M112";316.736940614618;"PAST";438.326907428572;"PASE";105.862474285714;15824.9500190897;21899.881297771;5289.14739536783
50026;374;443685;0.130845;"M104";337.45430312192;"PAST";435.094764;"PASE";107.109916;15120.1985382493;19495.1409828544;4799.23705329098
50027;375;754787;0.08943;"M108";260.824540493719;"PAST";451.867787428572;"PASE";108.219721142857;19701.5303361811;34132.090888056;8174.43832176676
50028;376;381484;0.41239;"M101";344.364027634709;"PAST";446.356258857143;"PASE";104.167603428571;13008.3890239442;16861.1567775171;3934.94267795065
50029;377;163651;0.05922;"M106";352.29618476872;"PAST";446.639693142857;"PASE";114.739702285714;5747.98704552579;7287.27497258636;1872.06773975921
50030;378;956516;1.957005;"M105";355.066201446187;"PAST";451.328049142857;"PASE";112.920429142857;33685.9202216514;42818.4958052788;10713.0122552017
50032;380;385393;0.375315;"M105";314.71681699509;"PAST";445.368760571429;"PASE";112.293013714286;12096.8285174514;17118.7214433047;4316.22734234355
50033;381;66088;0;"M105";220.405698322442;"PAST";438.521451428572;"PASE";102.647425142857;1473.96310753133;2932.61220642858;686.454655642856
50041;389;105038;0.13068;"PAST";452.974725142857;"PAST";452.974725142857;"PASE";117.540077142857;4781.97263788262;4781.97263788262;1240.84943718326
50042;390;62512;0.04556;"PAST";438.381609142857;"PAST";438.381609142857;"PASE";112.034724571429;2719.91239103031;2719.91239103031;695.112726519957
50046;394;60855;0.0464;"PAST";433.960806285714;"PAST";433.960806285714;"PASE";103.801454857143;2583.62905630263;2583.62905630263;617.992341637487
50050;398;59622;0.00273;"PAST";443.902953142857;"PAST";443.902953142857;"PASE";101.618128571429;2745.43766750935;2745.43766750935;628.484753044717
50051;399;112911;0.0615;"PAST";448.110353142857;"PAST";448.110353142857;"PASE";114.203052;5125.71027442457;5125.71027442457;1306.311610302
50052;400;89085;0.04788;"PAST";442.596949714286;"PAST";442.596949714286;"PASE";110.189975428571;4128.15486161911;4128.15486161911;1027.75512361933
50053;401;56120;0.04116;"PAST";338.488007428572;"PAST";338.488007428572;"PASE";51.35376;1974.6848772571;1974.6848772571;299.5896192384
50054;402;656183;0.60324;"PAST";437.492154857143;"PAST";437.492154857143;"PASE";111.247946285714;28337.1368562897;28337.1368562897;7205.72527731116
50056;404;67963;0;"PAST";443.755390857143;"PAST";443.755390857143;"PASE";107.974556;3189.49187178572;3189.49187178572;776.06712125
60018;447;218275;0.28944;"M106";362.866555720857;"PAST";438.592696;"PASE";112.333157714286;7855.35697023846;9494.68099856976;2431.79493818833
60019;448;331650;0.971235;"M109";311.353434157205;"PAST";443.276089142857;"PASE";108.407096571429;10237.3841414224;14575.0363009376;3564.45431302886
60022;451;60866;0.04131;"M102";202.744005394108;"PAST";437.455760571429;"PASE";106.794278285714;1258.77467885034;2716.02720610223;663.05256764973
60023;452;768148;0.74018;"M107";334.194408484995;"PAST";454.162722857143;"PASE";114.459797142857;25475.7934200156;34621.0331855384;8725.32296434054
60024;453;83277;0.00468;"M105";211.746494343489;"PAST";337.107781714286;"PASE";43.8695508571429;1825.32254011907;2905.97695286729;378.169566644846
60025;454;220605;0.31372;"M104";302.268898287759;"PAST";443.557648571429;"PASE";116.405237142857;6611.76338198882;9702.28242216875;2546.22254811068
60026;455;611824;0.4807;"M103";320.02120827781;"PAST";444.613082857143;"PASE";118.340861714286;19287.4542080578;26796.519274642;7132.32089691682
60027;456;763514;0.40664;"M111";319.579225507466;"PAST";440.691984571429;"PASE";106.0268;24337.830756655;33561.2770801439;8074.562137048
60046;475;127995;0.00518;"PAST";332.595993142857;"PAST";332.595993142857;"PASE";49.6156571428572;4509.11030975552;4509.11030975552;672.655340896001
60048;477;343881;0.40301;"PAST";440.863368571429;"PAST";440.863368571429;"PASE";108.609581142857;15032.1138695463;15032.1138695463;3703.25980213218
60062;491;91102;0.22509;"M111";318.546455758735;"PAST";438.853080571429;"PASE";103.627975428571;2954.48970798125;4070.32282552275;961.140145582208
60066;495;63044;0.01645;"M103";320.130724503487;"PAST";452.279042857143;"PASE";112.143025142857;2095.59172913605;2960.641228495;734.093849736399
60068;497;51744;0.10665;"M109";308.501703264758;"PAST";449.384814857143;"PASE";110.767872571429;1683.13901775703;2451.77614213834;604.332897568831
60076;505;64933;0;"M111";317.998919934924;"PAST";439.691362285714;"PASE";101.397446857143;2047.11804708107;2830.51314471428;652.746064142858
60082;511;70000;0;"M109";311.371406454219;"PAST";454.213564571429;"PASE";110.08752;2160.13913227614;3151.10660421429;763.73217
70042;555;181792;0.4277;"M110";631.224440815414;"PAST";446.438862857143;"PASE";111.675965142857;11249.8713515446;7956.56734549886;1990.32255356554
70043;556;142966;0;"M101";373.88510116918;"PAST";445.564738285714;"PASE";109.281882857143;5397.96614813004;6432.840909;1577.75718375
70044;557;57435;0;"M104";348.069137335256;"PAST";445.592530285714;"PASE";105.234728;2066.66050292808;2645.70564857143;624.8311975
70045;558;351246;0.018335;"M107";346.65441167263;"PAST";439.955276;"PASE";106.943605142857;12169.8803013631;15445.3624895145;3754.43331964256
70046;559;88780;0.02401;"M109";242.155431492096;"PAST";428.329286857143;"PASE";98.48822;2188.71944598699;3871.44997596542;890.1847915878
70047;560;900749;1.531285;"M109";359.483460199062;"PAST";436.235449142857;"PASE";107.677336;32032.2300525421;38871.3134570371;9594.72571084891
70050;563;865347;0.86296;"M110";636.011919416962;"PAST";448.346585142857;"PASE";117.835422285714;54719.6038836106;38573.7229014144;10138.0295464323
70051;564;396772;0.13794;"M112";315.608045126593;"PAST";446.001800571429;"PASE";112.729414285714;12620.2378369598;17834.3007595578;4507.7178528077
70053;566;59359;0;"M105";291.868519739604;"PAST";445.684177714286;"PASE";107.213915428571;1769.45290092135;2701.96032739286;649.984362285712
70056;569;168137;0;"M112";335.478781194097;"PAST";433.964556;"PASE";110.961975428571;5598.30216117649;7241.78352825;1851.67796496428
70057;570;978592;0.84823;"M101";338.069581218424;"PAST";443.363104571429;"PASE";112.418739428571;32977.4405481401;43248.4353355549;10966.0333314855
70073;586;56058;0.01296;"PAST";451.116741714286;"PAST";451.116741714286;"PASE";113.800619428571;2616.26958824167;2616.26958824167;659.991244400775
70075;588;85460;0.0354;"PAST";440.831385714286;"PAST";440.831385714286;"PASE";103.89608;3841.66919394572;3841.66919394572;905.412778768
70078;591;54857;0;"PAST";332.521991428572;"PAST";332.521991428572;"PASE";49.5250022857143;1912.00145071429;1912.00145071429;284.768763142857
70079;592;267187;0.12483;"PAST";446.163810285714;"PAST";446.163810285714;"PASE";114.212536571429;12409.0068214192;12409.0068214192;3176.55558952409
70080;593;311051;0.25745;"PAST";435.117262285714;"PAST";435.117262285714;"PASE";102.343367428571;13566.9779939317;13566.9779939317;3191.07131359122
70081;594;157980;0.01379;"PAST";435.231408;"PAST";435.231408;"PASE";100.838188;7039.30657588368;7039.30657588368;1630.92760963748
70082;595;125782;0;"PAST";433.80398;"PAST";433.80398;"PASE";104.752338285714;5612.33899125;5612.33899125;1355.23337657142
70083;596;115407;0;"PAST";448.526902285714;"PAST";448.526902285714;"PASE";112.454913142857;5270.19110185714;5270.19110185714;1321.34522942857
70084;597;198794;0;"PAST";448.648437142857;"PAST";448.648437142857;"PASE";111.015794857143;9057.09032482143;9057.09032482143;2241.13135867857
70090;603;56908;0;"PAST";419.211636;"PAST";419.211636;"PASE";93.5700285714286;2436.66763425;2436.66763425;543.875791071429
70099;612;113726;0.248085;"M109";359.603819680735;"PAST";437.728938285714;"PASE";109.540172;4023.75637399291;4897.93074798824;1225.69044367938
70112;625;71203;0.09447;"M109";359.62260445493;"PAST";433.541610285714;"PASE";105.790237142857;2595.76674763382;3129.31634929059;763.597105404256
80019;653;514401;1.343555;"M104";338.013094173269;"PAST";436.363601142857;"PASE";106.233254857143;17231.1936328991;22244.8947548386;5415.5469603145
80020;654;870793;2.66679;"M105";311.049117303585;"PAST";449.294049714286;"PASE";114.509205142857;26820.7090915161;38741.1001464918;9873.73989696873
80023;657;109106;0.22344;"M105";352.844649248384;"PAST";448.009772571429;"PASE";113.671033714286;3780.39874272614;4800.00358391664;1217.87827547688
80025;659;120042;0;"M108";341.209442892528;"PAST";446.871734285714;"PASE";108.351402285714;4094.51331471034;5362.46081142857;1300.21682742857
80026;660;91490;0.071205;"M101";416.114977429771;"PAST";433.737257142857;"PASE";104.276676;3845.44126034685;4008.293945748;963.65152453542
80027;661;641780;0.262975;"M109";344.695480331131;"PAST";447.753468571429;"PASE";115.770763428571;22034.4948498144;28622.427795531;7400.59106105877
80028;662;603445;0.53515;"M107";312.368952911084;"PAST";449.806657714286;"PASE";112.263457142857;18747.6325428094;26996.3127114527;6737.78242967319
80029;663;490776;0.18762;"M108";276.010115691777;"PAST";443.196242285714;"PASE";109.586381714286;13558.9638121447;21771.9622187366;5383.41785134849
80031;665;118969;0.078225;"PAST";446.672337714286;"PAST";446.672337714286;"PASE";109.888013142857;5241.3760456323;5241.3760456323;1289.4561654219
80036;670;67908;0.11505;"PAST";440.634636;"PAST";440.634636;"PASE";104.209291428571;3006.2077723782;3006.2077723782;710.962680306854
80038;672;284659;0.29848;"PAST";444.404091428572;"PAST";444.404091428572;"PASE";113.314700571429;12616.1966396476;12616.1966396476;3216.89330081631
80040;674;193831;0.14418;"PAST";451.026086857143;"PAST";451.026086857143;"PASE";113.483658285714;8786.35801336837;8786.35801336837;2210.7547200055
80041;675;238415;0.395305;"PAST";436.312759428571;"PAST";436.312759428571;"PASE";106.171274285714;10108.1427786698;10108.1427786698;2459.69061477562
80043;677;61528;0.07696;"PAST";443.569118285714;"PAST";443.569118285714;"PASE";107.414966285714;2710.44684004959;2710.44684004959;656.363448087507
80045;679;154902;0.27825;"M104";335.393810225074;"PAST";434.459297714286;"PASE";103.725357714286;5105.28073079352;6613.23081498243;1578.88146378743
80048;682;52515;0.041195;"M102";207.736990980158;"PAST";346.494088571429;"PASE";46.4913731428572;1121.01216311118;1869.78778262845;250.881629347666
